issue,file_a,review_uid_a,file_b,review_uid_b,review_text
cross_file_duplicate_review_uid,train,5112e50674335c0b,holdout_real_reviews,5112e50674335c0b,"""HO. LEE. SHIT. I feel sorry for all the girls in the world that never get to experience a Jake Andrews at least once in their lifetime."" - Mikayla So do I! What started off for me as a classic Young Adult book became much, much more! (Jake Andrews, where have you been all my life?) This story is both very sweet and very, very hot, which I love. Mikayla is not only faced with heartbreak very early on in this story, but she is also faced with an unspeakable tragedy. To the rescue comes the hot Ja"
cross_file_duplicate_review_uid,train,593c232e07ef4760,holdout_real_reviews,593c232e07ef4760,Dat Cover Tho.
cross_file_duplicate_review_uid,train,76db5599356e3357,holdout_real_reviews,76db5599356e3357,"4.5 stars!! More Than Her is a suprisingly engaging, fast-paced and very emotional story! I was immediately drawn into Logan and Amanda's story and read this juicy story almost in one sitting. Logan is somewhat of a jerk (the word ""asshole"" is used over 100 times in this book!) but to me he really is a good guy way down deep inside. He has his reasons for acting the way he does. Will Amanda be able to finally reach the real Logan? I absolutely loved the near-constant give-and-take between these "
cross_file_duplicate_review_uid,train,9863e7d2e7803651,holdout_real_reviews,9863e7d2e7803651,"For Cathy's review and an excerpt from the book, go to The Book Bellas"
cross_file_duplicate_review_uid,train,ab463a7cf4ddecc1,holdout_real_reviews,ab463a7cf4ddecc1,"Sometimes a book comes along that grabs you from the first page and doesn't let you go. Making faces is one of those books. Perfectly written, emotional and tragic, but funny and beautiful all at once. Just like life. Amy Harmon has a gift for storytelling and character development and has created a book that will stay with you long after you finish. This book is a must-read, your life will be all the richer for reading it. Fern has been the plain girl for most of her life, the quiet kind of gir"
cross_file_duplicate_review_uid,train,c05d79d5659555a4,holdout_real_reviews,c05d79d5659555a4,"""I bet he f**ks like he drives - a little reckless, pushing all the limits, and in it until the very last lap."" Driven absolutely blew me away! Full review at http://www.thebookbella.com/2013/07/1... DrivenK. Bromberg"
cross_file_duplicate_review_uid,train,f775b673d2fa442f,holdout_real_reviews,f775b673d2fa442f,"Oh my. I can't even. Ugh. I knew I should have waited until the next book came out before I read this one. I can't even process anything. Sydney, girl, I'm here for you. Probably my favorite book from this series so far...Also, the cameos = amazing. I seriously feel like re-reading the Vampire Academy series again...maybe I will around the time the movie comes out. It has a cover! At first, I thought it was just so...awkward. It still kind of is but it's grown on me. Sydney looks kind of flushed"
cross_file_duplicate_text,train,5112e50674335c0b,holdout_real_reviews,5112e50674335c0b,"""HO. LEE. SHIT. I feel sorry for all the girls in the world that never get to experience a Jake Andrews at least once in their lifetime."" - Mikayla So do I! What started off for me as a classic Young Adult book became much, much more! (Jake Andrews, where have you been all my life?) This story is both very sweet and very, very hot, which I love. Mikayla is not only faced with heartbreak very early on in this story, but she is also faced with an unspeakable tragedy. To the rescue comes the hot Ja"
cross_file_duplicate_text,train,c05d79d5659555a4,holdout_real_reviews,c05d79d5659555a4,"""I bet he f**ks like he drives - a little reckless, pushing all the limits, and in it until the very last lap."" Driven absolutely blew me away! Full review at http://www.thebookbella.com/2013/07/1... DrivenK. Bromberg"
cross_file_duplicate_text,train,76db5599356e3357,holdout_real_reviews,76db5599356e3357,"4.5 stars!! More Than Her is a suprisingly engaging, fast-paced and very emotional story! I was immediately drawn into Logan and Amanda's story and read this juicy story almost in one sitting. Logan is somewhat of a jerk (the word ""asshole"" is used over 100 times in this book!) but to me he really is a good guy way down deep inside. He has his reasons for acting the way he does. Will Amanda be able to finally reach the real Logan? I absolutely loved the near-constant give-and-take between these "
cross_file_duplicate_text,train,593c232e07ef4760,holdout_real_reviews,593c232e07ef4760,Dat Cover Tho.
cross_file_duplicate_text,train,9863e7d2e7803651,holdout_real_reviews,9863e7d2e7803651,"For Cathy's review and an excerpt from the book, go to The Book Bellas"
cross_file_duplicate_text,train,019b3103ffb948a0,holdout_real_reviews,019b3103ffb948a0,"I am officially obsessed with Alexa Riley's books!! The Mechanic was a delicious, smutty, sizzling hot story with some of THE dirtiest talkers around. These books are like palate-cleansers in between the main course. Highly recommended!"
cross_file_duplicate_text,train,4d7df2d47ab4b58f,holdout_real_reviews,4d7df2d47ab4b58f,"Not worth anywhere near $2. I say it should've been free. Anyways, I adore Ridley and Link and I may ship them more than Ethan and Lena now..."
cross_file_duplicate_text,train,f775b673d2fa442f,holdout_real_reviews,f775b673d2fa442f,"Oh my. I can't even. Ugh. I knew I should have waited until the next book came out before I read this one. I can't even process anything. Sydney, girl, I'm here for you. Probably my favorite book from this series so far...Also, the cameos = amazing. I seriously feel like re-reading the Vampire Academy series again...maybe I will around the time the movie comes out. It has a cover! At first, I thought it was just so...awkward. It still kind of is but it's grown on me. Sydney looks kind of flushed"
cross_file_duplicate_text,train,f48c1721290367e8,holdout_real_reviews,efef64fe1c20f866,Review coming soon!
cross_file_duplicate_text,train,d622629a7720f355,holdout_real_reviews,ed9524b7ce436a24,Review to follow
cross_file_duplicate_text,train,31d47b06d7714d3e,holdout_real_reviews,25f30eb0f1f11b1f,Review to follow.
cross_file_duplicate_text,train,ab463a7cf4ddecc1,holdout_real_reviews,ab463a7cf4ddecc1,"Sometimes a book comes along that grabs you from the first page and doesn't let you go. Making faces is one of those books. Perfectly written, emotional and tragic, but funny and beautiful all at once. Just like life. Amy Harmon has a gift for storytelling and character development and has created a book that will stay with you long after you finish. This book is a must-read, your life will be all the richer for reading it. Fern has been the plain girl for most of her life, the quiet kind of gir"
cross_file_duplicate_review_uid,test,5a7cdc373332ca53,holdout_real_reviews,5a7cdc373332ca53,"For some reason, this story did not hold my interest. Stopped at about 35% but will pick this one up again later. I usually devour KA books but I'm moving on."
cross_file_duplicate_text,test,5a7cdc373332ca53,holdout_real_reviews,5a7cdc373332ca53,"For some reason, this story did not hold my interest. Stopped at about 35% but will pick this one up again later. I usually devour KA books but I'm moving on."
